Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Del_Kategori,Chrome 114.0.0.0,,,2023-07-26 15:18:54,2023-07-26 15:19:05,11.299s,PASSED
,,,,,,,
Test Cases/KasirAja/TC_02_LoginSuccess - Copy,Chrome 114.0.0.0,,,2023-07-26 15:18:54,2023-07-26 15:19:01,6.869s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-07-26 15:18:54,2023-07-26 15:18:56,2.044s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,2023-07-26 15:18:56,2023-07-26 15:18:56,0.153s,PASSED
"navigateToUrl(""https://kasirdemo.belajarqa.com"")",Chrome 114.0.0.0,,,2023-07-26 15:18:56,2023-07-26 15:18:57,1.131s,PASSED
"setText(findTestObject(""KasirAja/Login/txt_email""), ""KasirAja_Test@Test.com"")",Chrome 114.0.0.0,,,2023-07-26 15:18:57,2023-07-26 15:18:58,0.876s,PASSED
"setText(findTestObject(""KasirAja/Login/txt_password""), ""123456"")",Chrome 114.0.0.0,,,2023-07-26 15:18:58,2023-07-26 15:18:59,0.776s,PASSED
"click(findTestObject(""KasirAja/Login/btn_login""))",Chrome 114.0.0.0,,,2023-07-26 15:18:59,2023-07-26 15:19:00,0.482s,PASSED
"verifyElementPresent(findTestObject(""KasirAja/Login/verify_home""), 0)",Chrome 114.0.0.0,,,2023-07-26 15:19:00,2023-07-26 15:19:01,1.132s,PASSED
,,,,,,,
Test Cases/KasirAja/TC_05_DelKategori,Chrome 114.0.0.0,,,2023-07-26 15:19:01,2023-07-26 15:19:05,4.233s,PASSED
"click(findTestObject(""KasirAja/Kategori/btn_kategori""))",Chrome 114.0.0.0,,,2023-07-26 15:19:01,2023-07-26 15:19:01,0.425s,PASSED
"verifyElementPresent(findTestObject(""KasirAja/Kategori/Verify_kategori""), 3)",Chrome 114.0.0.0,,,2023-07-26 15:19:01,2023-07-26 15:19:02,0.561s,PASSED
"click(findTestObject(""KasirAja/Kategori/btn_titikmenu""))",Chrome 114.0.0.0,,,2023-07-26 15:19:02,2023-07-26 15:19:02,0.454s,PASSED
"click(findTestObject(""KasirAja/Kategori/btn_delkategori""))",Chrome 114.0.0.0,,,2023-07-26 15:19:02,2023-07-26 15:19:03,0.791s,PASSED
"click(findTestObject(""KasirAja/Kategori/btn_delete""))",Chrome 114.0.0.0,,,2023-07-26 15:19:03,2023-07-26 15:19:04,0.563s,PASSED
"verifyElementPresent(findTestObject(""KasirAja/Kategori/alert_success""), 3)",Chrome 114.0.0.0,,,2023-07-26 15:19:04,2023-07-26 15:19:05,1.170s,PASSED
