Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,Chrome 115.0.0.0,,,2023-07-31 15:49:55,2023-07-31 15:50:01,5.907s,PASSED
,,,,,,,
Test Cases/Saucedemo/Login,Chrome 115.0.0.0,,,2023-07-31 15:49:55,2023-07-31 15:50:01,5.728s,PASSED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-07-31 15:49:55,2023-07-31 15:49:57,2.169s,PASSED
maximizeWindow(),Chrome 115.0.0.0,,,2023-07-31 15:49:57,2023-07-31 15:49:58,0.153s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 115.0.0.0,,,2023-07-31 15:49:58,2023-07-31 15:49:58,0.539s,PASSED
"setText(findTestObject(""Saucedemo/Login/txt_username""), ""standard_user"")",Chrome 115.0.0.0,,,2023-07-31 15:49:58,2023-07-31 15:49:59,0.826s,PASSED
"setText(findTestObject(""Saucedemo/Login/txt_password""), ""secret_sauce"")",Chrome 115.0.0.0,,,2023-07-31 15:49:59,2023-07-31 15:50:00,0.809s,PASSED
"click(findTestObject(""Saucedemo/Login/btn_login""))",Chrome 115.0.0.0,,,2023-07-31 15:50:00,2023-07-31 15:50:00,0.473s,PASSED
"verifyElementPresent(findTestObject(""Saucedemo/Login/Verify_Home""), 0)",Chrome 115.0.0.0,,,2023-07-31 15:50:00,2023-07-31 15:50:01,0.490s,PASSED
